 time            v(vin)          v(vout)         v(xenv.rect)   
 1.83595781e-03  8.57116851e-01  1.03788561e+00  9.00510852e-01 
 1.84595781e-03  8.58815853e-01  1.03788557e+00  9.00558141e-01 
 1.85595781e-03  8.60677391e-01  1.03788554e+00  9.00607328e-01 
 1.86595781e-03  8.62694117e-01  1.03788550e+00  9.00658327e-01 
 1.87595781e-03  8.64858072e-01  1.03788546e+00  9.00710980e-01 
 1.88595781e-03  8.67160717e-01  1.03788543e+00  9.00765158e-01 
 1.89595781e-03  8.69592963e-01  1.03788539e+00  9.00820848e-01 
 1.90595781e-03  8.72145212e-01  1.03788535e+00  9.00878253e-01 
 1.91595781e-03  8.74807391e-01  1.03788532e+00  9.00937885e-01 
 1.92595781e-03  8.77568993e-01  1.03788528e+00  9.01000697e-01 
 1.93595781e-03  8.80419121e-01  1.03788525e+00  9.01068276e-01 
 1.94595781e-03  8.83346525e-01  1.03788521e+00  9.01143195e-01 
 1.95595781e-03  8.86339653e-01  1.03788518e+00  9.01229665e-01 
 1.96595781e-03  8.89386693e-01  1.03788515e+00  9.01334764e-01 
 1.97595781e-03  8.92475618e-01  1.03788512e+00  9.01470692e-01 
 1.98595781e-03  8.95594238e-01  1.03788509e+00  9.01658301e-01 
 1.99595781e-03  8.98730246e-01  1.03788508e+00  9.01935394e-01 
 2.00595781e-03  9.01871265e-01  1.03788507e+00  9.02258168e-01 
 2.01595781e-03  9.05004899e-01  1.03788501e+00  9.02060054e-01 
 2.02595781e-03  9.08118781e-01  1.03788486e+00  9.00999958e-01 
 2.03275113e-03  9.10216609e-01  1.03788478e+00  9.00437887e-01 
 2.03972271e-03  9.12350099e-01  1.03788473e+00  9.00216490e-01 
 2.04447514e-03  9.13791137e-01  1.03788475e+00  9.00593586e-01 
 2.04974816e-03  9.15375585e-01  1.03788551e+00  9.08828535e-01 
 2.05485565e-03  9.16894221e-01  1.03788633e+00  9.17604577e-01 
 2.05887024e-03  9.18075766e-01  1.03788654e+00  9.19959951e-01 
 2.06352866e-03  9.19432335e-01  1.03788672e+00  9.21987671e-01 
 2.06907590e-03  9.21025923e-01  1.03788665e+00  9.21525463e-01 
 2.07621924e-03  9.23040144e-01  1.03788664e+00  9.21720918e-01 
 2.08465037e-03  9.25357466e-01  1.03788691e+00  9.24909621e-01 
 2.09446800e-03  9.27965781e-01  1.03788719e+00  9.28236270e-01 
 2.10446800e-03  9.30513122e-01  1.03788737e+00  9.30572259e-01 
 2.11446800e-03  9.32940041e-01  1.03788755e+00  9.32877045e-01 
 2.12446800e-03  9.35236962e-01  1.03788773e+00  9.35237449e-01 
 2.13446800e-03  9.37394818e-01  1.03788790e+00  9.37427405e-01 
 2.14446800e-03  9.39405094e-01  1.03788806e+00  9.39438452e-01 
 2.15446800e-03  9.41259856e-01  1.03788819e+00  9.41300207e-01 
 2.16446800e-03  9.42951784e-01  1.03788832e+00  9.43003024e-01 
 2.17446800e-03  9.44474201e-01  1.03788842e+00  9.44534107e-01 
 2.18446800e-03  9.45821099e-01  1.03788851e+00  9.45888521e-01 
 2.19446800e-03  9.46987162e-01  1.03788859e+00  9.47061974e-01 
 2.20446800e-03  9.47967788e-01  1.03788864e+00  9.48049706e-01 
 2.21446800e-03  9.48759107e-01  1.03788868e+00  9.48847802e-01 
 2.22446800e-03  9.49357996e-01  1.03788869e+00  9.49453259e-01 
 2.23446800e-03  9.49762092e-01  1.03788869e+00  9.49863789e-01 
 2.24446800e-03  9.49969799e-01  1.03788867e+00  9.50077850e-01 
 2.25446800e-03  9.49980299e-01  1.03788863e+00  9.50094681e-01 
 2.26446800e-03  9.49793549e-01  1.03788857e+00  9.49914304e-01 
 2.27446800e-03  9.49410286e-01  1.03788849e+00  9.49537519e-01 
 2.28446800e-03  9.48832024e-01  1.03788839e+00  9.48965903e-01 
 2.29446800e-03  9.48061044e-01  1.03788828e+00  9.48201810e-01 
 2.30446800e-03  9.47100389e-01  1.03788814e+00  9.47248364e-01 
 2.31446800e-03  9.45953851e-01  1.03788799e+00  9.46109444e-01 
 2.32446800e-03  9.44625953e-01  1.03788782e+00  9.44789678e-01 
 2.33446800e-03  9.43121938e-01  1.03788763e+00  9.43294431e-01 
 2.34446800e-03  9.41447739e-01  1.03788743e+00  9.41629782e-01 
 2.35446800e-03  9.39609966e-01  1.03788721e+00  9.39802522e-01 
 2.36446800e-03  9.37615870e-01  1.03788698e+00  9.37820129e-01 
 2.37446800e-03  9.35473321e-01  1.03788673e+00  9.35690765e-01 
 2.38446800e-03  9.33190776e-01  1.03788647e+00  9.33423271e-01 
 2.39446800e-03  9.30777241e-01  1.03788620e+00  9.31027176e-01 
 2.40446800e-03  9.28242243e-01  1.03788591e+00  9.28512734e-01 
 2.41446800e-03  9.25595786e-01  1.03788562e+00  9.25891000e-01 
 2.42446800e-03  9.22848313e-01  1.03788532e+00  9.23174001e-01 
 2.43446800e-03  9.20010669e-01  1.03788501e+00  9.20375081e-01 
 2.44446800e-03  9.17094052e-01  1.03788469e+00  9.17509619e-01 
 2.45446800e-03  9.14109973e-01  1.03788437e+00  9.14596642e-01 
 2.46446800e-03  9.11070207e-01  1.03788405e+00  9.11662677e-01 
 2.47446800e-03  9.07986753e-01  1.03788372e+00  9.08751872e-01 
 2.48446800e-03  9.04871779e-01  1.03788342e+00  9.05970620e-01 
 2.49446800e-03  9.01737578e-01  1.03788314e+00  9.03526977e-01 
 2.50446800e-03  8.98596520e-01  1.03788293e+00  9.01815879e-01 
 2.51446800e-03  8.95461000e-01  1.03788280e+00  9.00891532e-01 
 2.52446800e-03  8.92343394e-01  1.03788272e+00  9.00426239e-01 
 2.53181686e-03  8.90070882e-01  1.03788266e+00  9.00140754e-01 
 2.53876302e-03  8.87942278e-01  1.03788253e+00  8.99067560e-01 
 2.54381296e-03  8.86408943e-01  1.03788222e+00  8.96034193e-01 
 2.55037254e-03  8.84437885e-01  1.03788204e+00  8.94473108e-01 
 2.55602427e-03  8.82760697e-01  1.03788218e+00  8.96193389e-01 
 2.56230806e-03  8.80921552e-01  1.03788231e+00  8.97772686e-01 
 2.56906713e-03  8.78976578e-01  1.03788235e+00  8.98552117e-01 
 2.57695590e-03  8.76754712e-01  1.03788235e+00  8.98901295e-01 
 2.58599131e-03  8.74280365e-01  1.03788233e+00  8.99032010e-01 
 2.59599131e-03  8.71638802e-01  1.03788229e+00  8.99085013e-01 
 2.60599131e-03  8.69109167e-01  1.03788225e+00  8.99126675e-01 
 2.61599131e-03  8.66701444e-01  1.03788221e+00  8.99176557e-01 
 2.62599131e-03  8.64425135e-01  1.03788218e+00  8.99233281e-01 
 2.63599131e-03  8.62289224e-01  1.03788214e+00  8.99292840e-01 
 2.64599131e-03  8.60302141e-01  1.03788211e+00  8.99353215e-01 
 2.65599131e-03  8.58471726e-01  1.03788207e+00  8.99414202e-01 
 2.66599131e-03  8.56805205e-01  1.03788203e+00  8.99476499e-01 
 2.67599131e-03  8.55309153e-01  1.03788200e+00  8.99541107e-01 
 2.68599131e-03  8.53989477e-01  1.03788196e+00  8.99608996e-01 
 2.69599131e-03  8.52851382e-01  1.03788193e+00  8.99680804e-01 
 2.70599131e-03  8.51899362e-01  1.03788189e+00  8.99756473e-01 
 2.71599131e-03  8.51137173e-01  1.03788186e+00  8.99834953e-01 
 2.72599131e-03  8.50567823e-01  1.03788182e+00  8.99914162e-01 
 2.73599131e-03  8.50193560e-01  1.03788179e+00  8.99991388e-01 
 2.74599131e-03  8.50015859e-01  1.03788175e+00  9.00063368e-01 
 2.75599131e-03  8.50035424e-01  1.03788172e+00  9.00129440e-01 
 2.76599131e-03  8.50252175e-01  1.03788168e+00  9.00188838e-01 
 2.77599131e-03  8.50665259e-01  1.03788165e+00  9.00241959e-01 
 2.78599131e-03  8.51273044e-01  1.03788161e+00  9.00290125e-01 
 2.79599131e-03  8.52073132e-01  1.03788157e+00  9.00335043e-01 
 2.80599131e-03  8.53062366e-01  1.03788153e+00  9.00378383e-01 
 2.81599131e-03  8.54236841e-01  1.03788150e+00  9.00421537e-01 
 2.82599131e-03  8.55591922e-01  1.03788146e+00  9.00465527e-01 
 2.83599131e-03  8.57122262e-01  1.03788142e+00  9.00511005e-01 
 2.84599131e-03  8.58821821e-01  1.03788138e+00  9.00558301e-01 
 2.85599131e-03  8.60683891e-01  1.03788135e+00  9.00607494e-01 
 2.86599131e-03  8.62701124e-01  1.03788131e+00  9.00658500e-01 
 2.87599131e-03  8.64865558e-01  1.03788127e+00  9.00711159e-01 
 2.88599131e-03  8.67168652e-01  1.03788124e+00  9.00765341e-01 
 2.89599131e-03  8.69601317e-01  1.03788120e+00  9.00821037e-01 
 2.90599131e-03  8.72153951e-01  1.03788116e+00  9.00878448e-01 
 2.91599131e-03  8.74816480e-01  1.03788113e+00  9.00938090e-01 
 2.92599131e-03  8.77578398e-01  1.03788109e+00  9.01000914e-01 
 2.93599131e-03  8.80428803e-01  1.03788105e+00  9.01068512e-01 
 2.94599131e-03  8.83356447e-01  1.03788102e+00  9.01143462e-01 
 2.95599131e-03  8.86349776e-01  1.03788099e+00  9.01229981e-01 
 2.96599131e-03  8.89396975e-01  1.03788095e+00  9.01335159e-01 
 2.97599131e-03  8.92486020e-01  1.03788093e+00  9.01471219e-01 
