 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_en)       
 5.45078111e-05  5.45078111e+00  5.45078111e-05  5.44953658e+00  5.45078111e-05  3.16967748e+00  5.45078111e-05  5.45072058e+00 
 5.50078111e-05  5.50078111e+00  5.50078111e-05  5.49953247e+00  5.50078111e-05  3.20977138e+00  5.50078111e-05  5.50080928e+00 
 5.55078111e-05  5.55078111e+00  5.55078111e-05  5.54952749e+00  5.55078111e-05  3.24999645e+00  5.55078111e-05  5.55072138e+00 
 5.60078111e-05  5.60078111e+00  5.60078111e-05  5.59952141e+00  5.60078111e-05  3.29044206e+00  5.60078111e-05  5.60080879e+00 
 5.65078111e-05  5.65078111e+00  5.65078111e-05  5.64951430e+00  5.65078111e-05  3.33109576e+00  5.65078111e-05  5.65072214e+00 
 5.70078111e-05  5.70078111e+00  5.70078111e-05  5.69950594e+00  5.70078111e-05  3.37205281e+00  5.70078111e-05  5.70080832e+00 
 5.75078111e-05  5.75078111e+00  5.75078111e-05  5.74949632e+00  5.75078111e-05  3.41333203e+00  5.75078111e-05  5.75072287e+00 
 5.80078111e-05  5.80078111e+00  5.80078111e-05  5.79948522e+00  5.80078111e-05  3.45503918e+00  5.80078111e-05  5.80080787e+00 
 5.85078111e-05  5.85078111e+00  5.85078111e-05  5.84947259e+00  5.85078111e-05  3.49722249e+00  5.85078111e-05  5.85072358e+00 
 5.90078111e-05  5.90078111e+00  5.90078111e-05  5.89945820e+00  5.90078111e-05  3.53999715e+00  5.90078111e-05  5.90080745e+00 
 5.95078111e-05  5.95078111e+00  5.95078111e-05  5.94944195e+00  5.95078111e-05  3.58343037e+00  5.95078111e-05  5.95072426e+00 
 6.00078111e-05  6.00078111e+00  6.00078111e-05  5.99942359e+00  6.00078111e-05  3.62763952e+00  6.00078111e-05  6.00080705e+00 
 6.05078111e-05  6.05078111e+00  6.05078111e-05  6.04940289e+00  6.05078111e-05  3.67269606e+00  6.05078111e-05  6.05072492e+00 
 6.10078111e-05  6.10078111e+00  6.10078111e-05  6.09937972e+00  6.10078111e-05  3.71871998e+00  6.10078111e-05  6.10080667e+00 
 6.15078111e-05  6.15078111e+00  6.15078111e-05  6.14935383e+00  6.15078111e-05  3.76574268e+00  6.15078111e-05  6.15072556e+00 
 6.20078111e-05  6.20078111e+00  6.20078111e-05  6.19932487e+00  6.20078111e-05  3.81386605e+00  6.20078111e-05  6.20080632e+00 
 6.25078111e-05  6.25078111e+00  6.25078111e-05  6.24929267e+00  6.25078111e-05  3.86314128e+00  6.25078111e-05  6.25072618e+00 
 6.30078111e-05  6.30078111e+00  6.30078111e-05  6.29925683e+00  6.30078111e-05  3.91368644e+00  6.30078111e-05  6.30080598e+00 
 6.35078111e-05  6.35078111e+00  6.35078111e-05  6.34921706e+00  6.35078111e-05  3.96558643e+00  6.35078111e-05  6.35072678e+00 
 6.40078111e-05  6.40078111e+00  6.40078111e-05  6.39917287e+00  6.40078111e-05  4.01897428e+00  6.40078111e-05  6.40080566e+00 
 6.45078111e-05  6.45078111e+00  6.45078111e-05  6.44912385e+00  6.45078111e-05  4.07396115e+00  6.45078111e-05  6.45072736e+00 
 6.50078111e-05  6.50078111e+00  6.50078111e-05  6.49906939e+00  6.50078111e-05  4.13069994e+00  6.50078111e-05  6.50080536e+00 
 6.55078111e-05  6.55078111e+00  6.55078111e-05  6.54900891e+00  6.55078111e-05  4.18933048e+00  6.55078111e-05  6.55072793e+00 
 6.60078111e-05  6.60078111e+00  6.60078111e-05  6.59894161e+00  6.60078111e-05  4.25003305e+00  6.60078111e-05  6.60080508e+00 
 6.65078111e-05  6.65078111e+00  6.65078111e-05  6.64886667e+00  6.65078111e-05  4.31298162e+00  6.65078111e-05  6.65072850e+00 
 6.70078111e-05  6.70078111e+00  6.70078111e-05  6.69878302e+00  6.70078111e-05  4.37839371e+00  6.70078111e-05  6.70080482e+00 
 6.75078111e-05  6.75078111e+00  6.75078111e-05  6.74868944e+00  6.75078111e-05  4.44648731e+00  6.75078111e-05  6.75072905e+00 
 6.80078111e-05  6.80078111e+00  6.80078111e-05  6.79858441e+00  6.80078111e-05  4.51753301e+00  6.80078111e-05  6.80080459e+00 
 6.85078111e-05  6.85078111e+00  6.85078111e-05  6.84846610e+00  6.85078111e-05  4.59181216e+00  6.85078111e-05  6.85072960e+00 
 6.90078111e-05  6.90078111e+00  6.90078111e-05  6.89833214e+00  6.90078111e-05  4.66967936e+00  6.90078111e-05  6.90080438e+00 
 6.95078111e-05  6.95078111e+00  6.95078111e-05  6.94817959e+00  6.95078111e-05  4.75152336e+00  6.95078111e-05  6.95073016e+00 
 7.00078111e-05  7.00078111e+00  7.00078111e-05  6.99800446e+00  7.00078111e-05  4.83785856e+00  7.00078111e-05  7.00080421e+00 
 7.05078111e-05  7.05078111e+00  7.05078111e-05  7.04780140e+00  7.05078111e-05  4.92931167e+00  7.05078111e-05  7.05073074e+00 
 7.10078111e-05  7.10078111e+00  7.10078111e-05  7.09756257e+00  7.10078111e-05  5.02684510e+00  7.10078111e-05  7.10080410e+00 
 7.15078111e-05  7.15078111e+00  7.15078111e-05  7.14727538e+00  7.15078111e-05  5.13214623e+00  7.15078111e-05  7.15073137e+00 
 7.20078111e-05  7.20078111e+00  7.20078111e-05  7.19691038e+00  7.20078111e-05  5.25104645e+00  7.20078111e-05  7.20080423e+00 
 7.25078111e-05  7.25078111e+00  7.25078111e-05  7.24629103e+00  7.25078111e-05  5.42876336e+00  7.25078111e-05  7.25073362e+00 
