 1.09647820e+06 -4.36763597e+02  1.09647820e+06 -9.00000758e+01 
 1.14815362e+06 -4.37163597e+02  1.14815362e+06 -9.00000760e+01 
 1.20226443e+06 -4.37563597e+02  1.20226443e+06 -9.00000756e+01 
 1.25892541e+06 -4.37963598e+02  1.25892541e+06 -9.00000764e+01 
 1.31825674e+06 -4.38363598e+02  1.31825674e+06 -9.00000764e+01 
 1.38038426e+06 -4.38763597e+02  1.38038426e+06 -9.00000757e+01 
 1.44543977e+06 -4.39163597e+02  1.44543977e+06 -9.00000760e+01 
 1.51356125e+06 -4.39563597e+02  1.51356125e+06 -9.00000760e+01 
 1.58489319e+06 -4.39963596e+02  1.58489319e+06 -9.00000753e+01 
 1.65958691e+06 -4.40363597e+02  1.65958691e+06 -9.00000756e+01 
 1.73780083e+06 -4.40763597e+02  1.73780083e+06 -9.00000758e+01 
 1.81970086e+06 -4.41163599e+02  1.81970086e+06 -9.00000768e+01 
 1.90546072e+06 -4.41563597e+02  1.90546072e+06 -9.00000757e+01 
 1.99526231e+06 -4.41963598e+02  1.99526231e+06 -9.00000761e+01 
 2.08929613e+06 -4.42363597e+02  2.08929613e+06 -9.00000757e+01 
 2.18776162e+06 -4.42763597e+02  2.18776162e+06 -9.00000759e+01 
 2.29086765e+06 -4.43163598e+02  2.29086765e+06 -9.00000762e+01 
 2.39883292e+06 -4.43563598e+02  2.39883292e+06 -9.00000763e+01 
 2.51188643e+06 -4.43963597e+02  2.51188643e+06 -9.00000758e+01 
 2.63026799e+06 -4.44363598e+02  2.63026799e+06 -9.00000763e+01 
 2.75422870e+06 -4.44763597e+02  2.75422870e+06 -9.00000759e+01 
 2.88403150e+06 -4.45163597e+02  2.88403150e+06 -9.00000760e+01 
 3.01995172e+06 -4.45563597e+02  3.01995172e+06 -9.00000758e+01 
 3.16227766e+06 -4.45963597e+02  3.16227766e+06 -9.00000758e+01 
 3.31131121e+06 -4.46363597e+02  3.31131121e+06 -9.00000759e+01 
 3.46736850e+06 -4.46763598e+02  3.46736850e+06 -9.00000761e+01 
 3.63078055e+06 -4.47163597e+02  3.63078055e+06 -9.00000760e+01 
 3.80189396e+06 -4.47563597e+02  3.80189396e+06 -9.00000760e+01 
 3.98107171e+06 -4.47963598e+02  3.98107171e+06 -9.00000762e+01 
 4.16869383e+06 -4.48363596e+02  4.16869383e+06 -9.00000758e+01 
 4.36515832e+06 -4.48763598e+02  4.36515832e+06 -9.00000762e+01 
 4.57088190e+06 -4.49163596e+02  4.57088190e+06 -9.00000758e+01 
 4.78630092e+06 -4.49563597e+02  4.78630092e+06 -9.00000759e+01 
 5.01187234e+06 -4.49963598e+02  5.01187234e+06 -9.00000762e+01 
 5.24807460e+06 -4.50363598e+02  5.24807460e+06 -9.00000762e+01 
 5.49540874e+06 -4.50763597e+02  5.49540874e+06 -9.00000760e+01 
 5.75439937e+06 -4.51163598e+02  5.75439937e+06 -9.00000761e+01 
 6.02559586e+06 -4.51563598e+02  6.02559586e+06 -9.00000762e+01 
 6.30957344e+06 -4.51963597e+02  6.30957344e+06 -9.00000760e+01 
 6.60693448e+06 -4.52363597e+02  6.60693448e+06 -9.00000760e+01 
 6.91830971e+06 -4.52763598e+02  6.91830971e+06 -9.00000761e+01 
 7.24435960e+06 -4.53163598e+02  7.24435960e+06 -9.00000762e+01 
 7.58577575e+06 -4.53563597e+02  7.58577575e+06 -9.00000760e+01 
 7.94328235e+06 -4.53963597e+02  7.94328235e+06 -9.00000760e+01 
 8.31763771e+06 -4.54363597e+02  8.31763771e+06 -9.00000759e+01 
 8.70963590e+06 -4.54763598e+02  8.70963590e+06 -9.00000761e+01 
 9.12010839e+06 -4.55163597e+02  9.12010839e+06 -9.00000760e+01 
