 1.38038426e+04 -4.63378833e+01  1.38038426e+04 -8.24173358e-04  1.38038426e+04 -1.36644346e+02 
 1.44543977e+04 -4.59380891e+01  1.44543977e+04 -9.03626144e-04  1.44543977e+04 -1.36617495e+02 
 1.51356125e+04 -4.55383145e+01  1.51356125e+04 -9.90737099e-04  1.51356125e+04 -1.36592915e+02 
 1.58489319e+04 -4.51385614e+01  1.58489319e+04 -1.08624369e-03  1.58489319e+04 -1.36570434e+02 
 1.65958691e+04 -4.47388320e+01  1.65958691e+04 -1.19095423e-03  1.65958691e+04 -1.36549894e+02 
 1.73780083e+04 -4.43391284e+01  1.73780083e+04 -1.30575471e-03  1.73780083e+04 -1.36531147e+02 
 1.81970086e+04 -4.39394531e+01  1.81970086e+04 -1.43161615e-03  1.81970086e+04 -1.36514057e+02 
 1.90546072e+04 -4.35398091e+01  1.90546072e+04 -1.56960278e-03  1.90546072e+04 -1.36498498e+02 
 1.99526231e+04 -4.31401991e+01  1.99526231e+04 -1.72088090e-03  1.99526231e+04 -1.36484354e+02 
 2.08929613e+04 -4.27406267e+01  2.08929613e+04 -1.88672863e-03  2.08929613e+04 -1.36471518e+02 
 2.18776162e+04 -4.23410952e+01  2.18776162e+04 -2.06854654e-03  2.18776162e+04 -1.36459892e+02 
 2.29086765e+04 -4.19416089e+01  2.29086765e+04 -2.26786928e-03  2.29086765e+04 -1.36449388e+02 
 2.39883292e+04 -4.15421718e+01  2.39883292e+04 -2.48637835e-03  2.39883292e+04 -1.36439923e+02 
 2.51188643e+04 -4.11427889e+01  2.51188643e+04 -2.72591596e-03  2.51188643e+04 -1.36431425e+02 
 2.63026799e+04 -4.07434654e+01  2.63026799e+04 -2.98850030e-03  2.63026799e+04 -1.36423827e+02 
 2.75422870e+04 -4.03442069e+01  2.75422870e+04 -3.27634211e-03  2.75422870e+04 -1.36417068e+02 
 2.88403150e+04 -3.99450197e+01  2.88403150e+04 -3.59186285e-03  2.88403150e+04 -1.36411094e+02 
 3.01995172e+04 -3.95459107e+01  3.01995172e+04 -3.93771450e-03  3.01995172e+04 -1.36405859e+02 
 3.16227766e+04 -3.91468873e+01  3.16227766e+04 -4.31680119e-03  3.16227766e+04 -1.36401320e+02 
 3.31131121e+04 -3.87479578e+01  3.31131121e+04 -4.73230277e-03  3.31131121e+04 -1.36397440e+02 
 3.46736850e+04 -3.83491313e+01  3.46736850e+04 -5.18770054e-03  3.46736850e+04 -1.36394188e+02 
 3.63078055e+04 -3.79504175e+01  3.63078055e+04 -5.68680521e-03  3.63078055e+04 -1.36391538e+02 
 3.80189396e+04 -3.75518273e+01  3.80189396e+04 -6.23378747e-03  3.80189396e+04 -1.36389468e+02 
 3.98107171e+04 -3.71533726e+01  3.98107171e+04 -6.83321109e-03  3.98107171e+04 -1.36387960e+02 
 4.16869383e+04 -3.67550662e+01  4.16869383e+04 -7.49006907e-03  4.16869383e+04 -1.36387001e+02 
 4.36515832e+04 -3.63569224e+01  4.36515832e+04 -8.20982277e-03  4.36515832e+04 -1.36386584e+02 
 4.57088190e+04 -3.59589568e+01  4.57088190e+04 -8.99844448e-03  4.57088190e+04 -1.36386704e+02 
 4.78630092e+04 -3.55611862e+01  4.78630092e+04 -9.86246350e-03  4.78630092e+04 -1.36387362e+02 
 5.01187234e+04 -3.51636293e+01  5.01187234e+04 -1.08090161e-02  5.01187234e+04 -1.36388561e+02 
 5.24807460e+04 -3.47663064e+01  5.24807460e+04 -1.18458995e-02  5.24807460e+04 -1.36390309e+02 
